Gene	adj.P.Val	logFC	Regulation
ILMN_1814327	1.26983626556988e-15	-1.15031398619054	Downregulated
ILMN_1701551	1.280304722311e-15	-1.25235233381225	Downregulated
ILMN_1689088	1.2860525499965e-15	-2.2250169994373	Downregulated
ILMN_1671891	1.31315556097289e-15	-1.94893247233919	Downregulated
ILMN_1652371	1.31768599717252e-15	-1.82609738517018	Downregulated
ILMN_1721549	1.36680658264172e-15	-2.75293974526525	Downregulated
ILMN_2173291	1.37309909842823e-15	-2.96991703952208	Downregulated
ILMN_1795158	1.41887364342104e-15	-1.56886441017791	Downregulated
ILMN_1774206	1.4582633666138e-15	-1.40670181653472	Downregulated
ILMN_2370624	1.54422262056612e-15	-1.55573501669545	Downregulated
ILMN_1716733	1.54650622973733e-15	-1.27008199889742	Downregulated
ILMN_1740875	1.56634229426112e-15	-1.32315842211458	Downregulated
ILMN_1663390	1.65345164699166e-15	1.98998119521197	Upregulated
ILMN_2388800	1.65634549150858e-15	-2.13125490907657	Downregulated
ILMN_1750961	1.67066138666283e-15	-1.37272610271293	Downregulated
ILMN_1815690	1.67128344521333e-15	-1.10381862308765	Downregulated
ILMN_2149782	1.7471835424356e-15	-1.81327420107238	Downregulated
ILMN_1805448	1.83732227240533e-15	-1.46395376679654	Downregulated
ILMN_1684357	1.85864675165804e-15	-1.01749084163551	Downregulated
ILMN_1810054	1.85864675165804e-15	-1.41477912219644	Downregulated
ILMN_1719811	1.92104851885673e-15	-1.286004458061	Downregulated
ILMN_1821052	1.93411602754762e-15	-1.12364916024324	Downregulated
ILMN_2182148	1.94314836393878e-15	-1.44007819162944	Downregulated
ILMN_1680424	1.94314836393878e-15	-2.19113562070873	Downregulated
ILMN_2189371	1.94606872273194e-15	-1.37842655300405	Downregulated
ILMN_1812618	2.03909815060853e-15	-1.25652598863159	Downregulated
ILMN_2049536	2.05755052683627e-15	-1.45206224327999	Downregulated
ILMN_1665449	2.25031991194034e-15	-1.05433783304419	Downregulated
ILMN_2181432	2.35815048417862e-15	1.24708159858489	Upregulated
ILMN_1727360	2.40189710941824e-15	-1.49131218064267	Downregulated
ILMN_2308849	2.43076810099431e-15	-1.70288235782214	Downregulated
ILMN_1665219	2.46133959017949e-15	-1.91438352340355	Downregulated
ILMN_2065022	2.51336666501049e-15	-1.79420944214411	Downregulated
ILMN_1739813	2.56487980001006e-15	-2.41890774088876	Downregulated
ILMN_2350574	2.57865601550716e-15	-1.41130600065273	Downregulated
ILMN_1694548	2.59322036685296e-15	-1.82086530972262	Downregulated
ILMN_1729801	2.59322036685296e-15	-2.97700202140302	Downregulated
ILMN_1741159	2.66315629786146e-15	-1.57843486812328	Downregulated
ILMN_1676088	2.71129940794862e-15	-1.85629389339956	Downregulated
ILMN_1798926	2.83542048478017e-15	-1.75145754990842	Downregulated
ILMN_2228938	2.9828732158739e-15	-1.67287706898762	Downregulated
ILMN_1813528	3.40163808661725e-15	-1.09166152852499	Downregulated
ILMN_1711566	3.51452381213333e-15	1.47109949544225	Upregulated
ILMN_1658902	3.6382448995885e-15	1.05562200318067	Upregulated
ILMN_1753584	3.65550238263386e-15	1.68168469177087	Upregulated
ILMN_1763452	3.65651710475615e-15	-1.94183964853775	Downregulated
ILMN_1810797	3.67142086303105e-15	-1.42846150501912	Downregulated
ILMN_1766411	3.99017540181236e-15	-1.83967631032908	Downregulated
ILMN_1782419	4.06859774318907e-15	-2.7098152261861	Downregulated
ILMN_1815032	4.10646002077104e-15	-1.69811263661251	Downregulated
ILMN_1751559	4.11183461969434e-15	-1.68068580620895	Downregulated
ILMN_1676649	4.18983050086681e-15	-1.26318096327	Downregulated
ILMN_1774389	4.42628548701072e-15	-1.28770633551381	Downregulated
ILMN_2264011	4.43475387888356e-15	-1.13496645370598	Downregulated
ILMN_1750225	4.43475387888356e-15	-1.04583003424745	Downregulated
ILMN_1796642	4.43475387888356e-15	-1.12431663936929	Downregulated
ILMN_1772686	4.47272957460059e-15	-1.34733541080252	Downregulated
ILMN_1689114	4.56088857410525e-15	-4.19555520451913	Downregulated
ILMN_1807689	4.8065730525468e-15	-1.106807006775	Downregulated
ILMN_1771233	4.86643223129573e-15	1.43390276737259	Upregulated
ILMN_2120273	5.18379346074684e-15	-1.50377813341626	Downregulated
ILMN_2284157	5.25646542122108e-15	-2.39444639136887	Downregulated
ILMN_1751099	5.31261096795479e-15	-1.08694802133334	Downregulated
ILMN_1722622	5.31261096795479e-15	-2.16666414744734	Downregulated
