Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Oxytocin signaling pathway	16/154	0.0931034289477274	0.218434967915822	0	0	1.48753219209211	3.53146726900649	JUN;CDKN1A;PLA2G4F;PRKCB;PLA2G4C;ADCY4;CACNA2D2;FOS;PTGS2;ACTG1;MYLK;RCAN1;RGS2;PPP3CC;GNAQ;MYL9
AMPK signaling pathway	13/120	0.0950962239864866	0.221407239052507	0	0	1.55814799890814	3.66611347442694	SCD5;PIK3R1;ACACB;FOXO1;CREB1;PPP2R2B;SCD;LEP;LEPR;PPARG;CD36;FBP1;PFKP
Aldosterone synthesis and secretion	11/98	0.0978514392831098	0.223875615380651	0	0	1.62102490421456	3.76775608926214	NR4A2;CREB1;PRKCB;PRKCE;GNAQ;AGTR1;ADCY4;ATP1B3;PRKD1;LDLR;KCNK3
Gastric acid secretion	9/76	0.0983584670852696	0.223875615380651	0	0	1.72167594758524	3.99280178342976	CA2;PRKCB;GNAQ;ADCY4;KCNJ15;ATP1B3;SSTR2;ACTG1;MYLK
Pancreatic cancer	9/76	0.0983584670852696	0.223875615380651	0	0	1.72167594758524	3.99280178342976	CDKN1A;CDK6;GADD45B;STAT1;RAC2;PIK3R1;JAK1;TGFBR2;ARHGEF6
Thyroid hormone signaling pathway	13/121	0.0998564353243104	0.225601576103072	0	0	1.54363699582754	3.55657324533857	NOTCH1;PRKCB;STAT1;NOTCH4;SLC2A1;ATP2A2;ATP1B3;PIK3R1;FOXO1;ACTG1;RCAN1;PLCG2;PFKP
Cellular senescence	16/156	0.101412731806551	0.225811444635881	0	0	1.46612244897959	3.35530425904529	CDKN1A;CXCL8;GADD45B;IGFBP3;PIK3R1;ETS1;FOXO1;ZFP36L2;HLA-E;TGFBR2;CCNB2;IL6;CCND2;CDK6;PPP3CC;RRAS
Regulation of lipolysis in adipocytes	7/55	0.101430058738084	0.225811444635881	0	0	1.86846433518006	4.27576724214599	FABP4;ADCY4;ADRB2;PIK3R1;PTGS2;MGLL;PTGS1
alpha-Linolenic acid metabolism	4/25	0.1033740344461	0.227912018774484	0	0	2.43893770362326	5.53492880005029	PLA2G2D;PLA2G4F;PLA2G1B;PLA2G4C
Gap junction	10/88	0.104309491361986	0.227912018774484	0	0	1.64335664335664	3.71463172253518	PDGFRA;GJA1;TUBA1B;TUBB6;TUBB2B;TUBA1A;TUBB3;PRKCB;GNAQ;ADCY4
Bacterial invasion of epithelial cells	9/77	0.104615352880091	0.227912018774484	0	0	1.69626539936363	3.8292597037315	CDH1;CAV2;ARPC1B;CAV1;ELMO1;HCLS1;ITGA5;PIK3R1;ACTG1
Acute myeloid leukemia	8/67	0.11085838391731	0.239800050317586	0	0	1.73743495777394	3.82149116547896	ITGAM;SPI1;JUP;ZBTB16;KIT;PIK3R1;CD14;FCGR1A
Breast cancer	15/147	0.113557648667617	0.243547468644219	0	0	1.45741010382375	3.17051501792805	JUN;CDKN1A;NOTCH1;GADD45B;FZD4;WNT3A;NOTCH4;PIK3R1;AXIN2;FOS;DLL1;CDK6;HEY1;KIT;WNT2
Necroptosis	16/159	0.114709027201974	0.243547468644219	0	0	1.4351307229356	3.10756971851167	IL33;PLA2G4F;IFNGR1;STAT1;PLA2G4C;CYBB;TNFAIP3;FTH1;IL1B;CASP1;CHMP4B;NLRP3;CHMP3;JAK1;BIRC3;CHMP5
Cell cycle	13/124	0.114986345851697	0.243547468644219	0	0	1.50167274367553	3.24803088145466	CDKN1C;CDKN1A;GADD45B;YWHAB;CDC20;CCNB2;CCND2;CDK6;CDC45;PTTG1;MCM4;SFN;MCM2
Glutathione metabolism	7/57	0.117023971064905	0.246153870171007	0	0	1.79353185595568	3.84780106756179	GSTM3;GPX2;GSTA4;GPX3;GSTO1;GSTA2;GSTM5
Retinol metabolism	8/68	0.118128018475286	0.246774285170975	0	0	1.70838530838531	3.64908768262004	CYP26B1;ADH1B;ALDH1A2;ADH1A;ALDH1A1;AOX1;HSD17B6;ADH5
Ras signaling pathway	22/232	0.119506231771247	0.247867001548407	0	0	1.3444566630011	2.85614593461872	PDGFRA;PLA2G4F;PLA2G2D;ANGPT1;PRKCB;PLA2G1B;PLA2G4C;VEGFC;VEGFD;PIK3R1;GAB2;RASGRP2;GNG11;ETS1;ETS2;GNG10;RRAS;KIT;PLCG2;RAC2;TEK;FGFR4
Nitrogen metabolism	3/17	0.121089125346599	0.247867001548407	0	0	2.74294593528019	5.79098544438362	CA2;CA4;CA9
Selenocompound metabolism	3/17	0.121089125346599	0.247867001548407	0	0	2.74294593528019	5.79098544438362	INMT;PAPSS2;PAPSS1
MAPK signaling pathway	27/294	0.122586107405262	0.248251144476729	0	0	1.29827357656862	2.72500038991258	ARRB1;RASGRP2;PPP3CC;RRAS;RAC2;MAP3K20;MAP3K8;CD14;FLNC;PDGFRA;JUN;PLA2G4F;GADD45B;ANGPT1;PRKCB;DUSP1;PLA2G4C;CACNA2D2;VEGFC;VEGFD;FOS;MAPK8IP3;TGFBR2;IL1B;KIT;TEK;FGFR4
Morphine addiction	10/91	0.122904664970446	0.248251144476729	0	0	1.5822345593338	3.31691157318148	GNG10;GRK5;PRKCB;PDE4D;PDE4B;ADCY4;ARRB1;PDE7B;PDE8B;GNG11
Adipocytokine signaling pathway	8/69	0.125645186274482	0.252116985616559	0	0	1.68028810651761	3.48541040563677	SOCS3;LEP;SLC2A1;LEPR;ACSL4;AGRP;CD36;ACACB
Small cell lung cancer	10/92	0.129482003706723	0.25811771980752	0	0	1.56285438635094	3.19480783977957	CDKN1A;CDK6;GADD45B;LAMC3;LAMA4;LAMA3;COL4A5;PIK3R1;PTGS2;BIRC3
Epithelial cell signaling in Helicobacter pylori infection	8/70	0.133405379403278	0.264211952714284	0	0	1.65309726600049	3.32993767204839	JUN;CXCL8;CCL5;PLCG2;CXCL2;JAM2;HBEGF;JAM3
Lysosome	13/128	0.137115920845506	0.269808747470189	0	0	1.4491262018504	2.87931025687302	ASAH1;SLC11A1;LAPTM5;CTSL;HYAL1;LAMP3;HYAL2;AP1S2;ACP5;CTSH;CTSG;CD68;CTSC
Adherens junction	8/71	0.141403523075803	0.276462016269999	0	0	1.62676962676963	3.18218524998935	PTPRB;CDH1;RAC2;PTPRM;LMO7;WASF3;ACTG1;TGFBR2
Purine metabolism	13/129	0.142990343819989	0.27778378894966	0	0	1.43655580068102	2.79406968198887	PDE4D;AK1;ADCY4;AK4;PAICS;PAPSS2;NME1;PAPSS1;PKM;PDE4B;PDE5A;PDE7B;PDE8B
Glycerolipid metabolism	7/61	0.151654985568068	0.289886163876329	0	0	1.66031855955679	3.13160515223695	AKR1B10;ALDH2;LPL;PLPP3;PLPP2;MGLL;PLPP1
Arginine and proline metabolism	6/50	0.152071430230206	0.289886163876329	0	0	1.74630386914124	3.28899732130141	AOC1;ALDH2;MAOB;MAOA;CKMT1B;PYCR1
Cholesterol metabolism	6/50	0.152071430230206	0.289886163876329	0	0	1.74630386914124	3.28899732130141	CYP27A1;APOC1;TSPO;LPL;CD36;LDLR
cGMP-PKG signaling pathway	16/167	0.154976844310079	0.292501440275753	0	0	1.3585065879041	2.53290777175369	KCNJ8;PRKCE;ADCY4;ATP2A2;ATP1B3;ADRB2;MYLK;EDNRA;RGS2;EDNRB;PPP3CC;CREB1;GNAQ;AGTR1;PDE5A;MYL9
Linoleic acid metabolism	4/29	0.15536142073663	0.292501440275753	0	0	2.04826537664133	3.81387244518588	PLA2G2D;PLA2G4F;PLA2G1B;PLA2G4C
Dilated cardiomyopathy	10/96	0.157615753864748	0.294925183611953	0	0	1.48984071139228	2.75262246591191	DES;SGCA;ITGB4;TNNC1;ADCY4;ATP2A2;CACNA2D2;ITGA5;SGCG;ACTG1
Glycine, serine and threonine metabolism	5/40	0.161449820917805	0.300257288902015	0	0	1.82908516103537	3.33544816595417	AOC3;ALAS2;MAOB;MAOA;PSAT1
Regulation of actin cytoskeleton	20/218	0.165708579266874	0.306309798038768	0	0	1.29534337081507	2.32841154856521	PDGFRA;GSN;ITGAM;ITGB4;ARPC1B;CXCR4;BRK1;PIK3R1;MYLK;ACTG1;FGD3;CXCL12;RRAS;RAC2;MYH11;ITGA5;FGFR4;MYL9;MYH10;ARHGEF6
Colorectal cancer	9/86	0.170468443718563	0.311518079515156	0	0	1.49727110614767	2.64897964745959	CDKN1A;JUN;GADD45B;RAC2;BIRC5;AXIN2;FOS;PIK3R1;TGFBR2
Basal cell carcinoma	7/63	0.170568915668954	0.311518079515156	0	0	1.60084833795014	2.83128577028271	CDKN1A;GADD45B;FZD4;WNT3A;HHIP;AXIN2;WNT2
